,username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
0,BSupremacy7,BangtanSupremacy7,1398035707843821571,"Only Army // OT7
No blinks, multis, exo-l, stays",False,2021-05-27T21:57:49+00:00,0,6,2,1,0,0,
1,Vits_ex,Vits_♡,1394323475213570054,,False,2021-05-17T16:06:45+00:00,48,101,4,2,0,0,
2,NN1C0LE,yuri༊*·˚,1022820266462703617,17 ･☪·̩͙ cat art by: @ItsSelynn,False,2018-07-27T12:25:29+00:00,177,261,8836,22081,1,279,she/he/they
3,jenlehyuck,ً,1334459256947449856,media,False,2020-12-03T11:27:42+00:00,694,1,13487,13051,26,789,
6,IstanthemallK,남준LOML,1316582620289880064,Stan acc || Multifandom || LF Moots,False,2020-10-15T03:32:21+00:00,1,57,193,453,0,27,
7,dtngnchustine,chazz | album ban,1327847532194455552,17 | Healing isn't linear | priv acc,False,2020-11-15T05:35:08+00:00,266,95,612,947,0,29,skyland
8,ggukie77,Alex Ackerman,960591777882365961,"only army

Stan BTS✨",False,2018-02-05T19:11:41+00:00,42,37,1602,2932,0,107,
10,nidmtrichy,nidmtrichy,1345258988808519680,"Digital marketing training institute in trichy, tamilnadu
50+ Modules | Dynamic curriculum | 8 months support | 200+ Ebooks | LMS
| 8 Live Projects |",False,2021-01-02T06:42:04+00:00,60,150,105,54,1,88,"trichy, tamilnadu"
11,Idon_eleven,Idon,1396011873154256896,Like a 💔 broken arrow,False,2021-05-22T07:55:51+00:00,4,33,237,30,0,18,UK 🇬🇧
12,omahdukd,rosé and jisoo,1391777068938153987,"stan Jisoo and Rosé
Exo-l",False,2021-05-10T15:28:17+00:00,1,9,50,29,0,3,
13,ailsuu,alisa,834829355280953349,XIAOJUN LOVEBOT • multi • she/her,False,2017-02-23T18:16:43+00:00,108,383,3562,18396,1,190,Ncity
14,borrazorra,anti,1386228590971285504,akgae irene,False,2021-04-25T08:00:48+00:00,71,98,119,28,0,45,
16,kingdonwilly,Donwilly1_ #Trending,354232723,Recording artist and Songwriter,False,2011-08-13T10:54:11+00:00,148,1189,1944,2348,0,143,Lekki Lagos
19,jaem1ngf,laur ♎︎,1192579854736080897,20 | acc 4 ᴹᵞ ᴸᴼᵛᴱˢ (｡╯ᴗ╰)〜♡♡,False,2019-11-07T23:09:36+00:00,67,130,4711,3345,2,205,she/they/them
20,charindu2005,Charindu2005,1389191585477300225,Airdrop,False,2021-05-03T12:14:32+00:00,0,111,131,7,0,0,
22,nctfloperos,シ,1397760311021686784,,False,2021-05-27T03:43:35+00:00,13,14,49,12,0,6,queti
24,kiayee2,kiayee,1398115427805544450,viendo fmab,False,2021-05-28T03:14:49+00:00,0,0,3,0,0,0,
25,Joonsblkgf,#𝗕𝗹𝗼𝗻𝗸𝘀𝗲𝗮𝘁𝗶𝗻𝗴,1386009410762420227,"ult: BTS,Twice,SKZ,Red Velvet,Loona,Mamamoo😘 (if you don't stan those groups you have no taste)
Black🙋🏾‍♀️
#1 Namjoon and Han Stan👑",False,2021-04-24T17:29:37+00:00,5,181,55,765,0,13,
26,AGYLl3,🧈Cokkie_star123🧈,1351344229344227328,El exito del año 🏂,False,2021-01-19T01:43:06+00:00,9,104,193,5580,0,8,
30,niylez,Niylez,1334197599205789697,We in a world full of hate mixed with all of loneliness,False,2020-12-02T18:08:10+00:00,0,8,20,25,0,1,Saint Lucia
